elapsed_s,event,body_x,body_y,dist,tags_used
28.120,lost,,,,
28.131,lost,,,,
28.145,lost,,,,
28.158,lost,,,,
28.171,lost,,,,
28.183,lost,,,,
28.198,lost,,,,
28.210,lost,,,,
28.221,lost,,,,
28.233,lost,,,,
28.247,lost,,,,
28.262,lost,,,,
28.274,lost,,,,
28.286,lost,,,,
28.302,lost,,,,
28.316,lost,,,,
28.327,lost,,,,
28.337,lost,,,,
28.349,lost,,,,
28.364,lost,,,,
28.376,lost,,,,
28.389,lost,,,,
28.402,lost,,,,
28.416,lost,,,,
28.431,lost,,,,
28.443,lost,,,,
28.455,lost,,,,
28.470,lost,,,,
28.485,lost,,,,
28.497,lost,,,,
28.512,lost,,,,
28.524,lost,,,,
28.537,lost,,,,
28.550,lost,,,,
28.565,lost,,,,
28.577,lost,,,,
28.589,lost,,,,
28.601,lost,,,,
28.616,lost,,,,
28.629,lost,,,,
28.641,lost,,,,
28.653,lost,,,,
28.666,lost,,,,
28.681,lost,,,,
28.693,lost,,,,
28.705,lost,,,,
28.717,lost,,,,
28.732,lost,,,,
28.744,lost,,,,
28.756,lost,,,,
28.769,lost,,,,
28.782,lost,,,,
28.794,lost,,,,
28.807,lost,,,,
28.818,lost,,,,
28.832,lost,,,,
28.848,lost,,,,
28.861,lost,,,,
28.876,lost,,,,
28.890,lost,,,,
28.903,lost,,,,
28.914,lost,,,,
28.926,lost,,,,
28.939,lost,,,,
28.953,lost,,,,
28.966,lost,,,,
28.979,lost,,,,
28.990,lost,,,,
29.004,lost,,,,
29.017,lost,,,,
29.031,lost,,,,
29.043,lost,,,,
29.057,lost,,,,
29.069,lost,,,,
29.080,lost,,,,
